experiment,rank,slack_ns,requirement_ns,datapath_ns,path_group,path_type,mentions_mul_ex_alu,source,destination,logic_levels
baseline,1,0.294,15.000,14.644,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[25]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,2,0.303,15.000,14.706,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[2]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,3,0.312,15.000,14.694,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[11]/D,14  (LUT3=2 LUT5=4 LUT6=8)
baseline,4,0.412,15.000,14.595,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[3]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,5,0.418,15.000,14.526,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[22]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=2 LUT6=9)
baseline,6,0.429,15.000,14.576,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[7]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,7,0.459,15.000,14.479,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[27]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT6=11)
baseline,8,0.459,15.000,14.477,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[25]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,9,0.469,15.000,14.478,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[22]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,10,0.490,15.000,14.517,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[7]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,11,0.502,15.000,14.436,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[22]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
baseline,12,0.510,15.000,14.497,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[9]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT6=11)
baseline,13,0.512,15.000,14.438,clk_i,Setup (Max at Slow Process Corner),True,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[5]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[2]/D,21  (CARRY4=8 LUT3=1 LUT4=1 LUT5=1 LUT6=10)
