index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint
0,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[0]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][0]/D
1,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[10]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][10]/D
2,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[11]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][11]/D
3,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[12]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][12]/D
4,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[13]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][13]/D
5,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[14]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][14]/D
6,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[15]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][15]/D
7,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[16]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][16]/D
8,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[17]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][17]/D
9,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[18]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][18]/D
10,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[19]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][19]/D
11,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[1]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][1]/D
12,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[20]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][20]/D
13,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[21]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][21]/D
14,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[22]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][22]/D
15,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[23]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][23]/D
16,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[24]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][24]/D
17,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[25]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][25]/D
18,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[26]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][26]/D
19,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[27]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][27]/D
20,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[28]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][28]/D
21,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[29]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][29]/D
22,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][2]/D
23,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[30]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][30]/D
24,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[31]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][31]/D
25,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[3]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][3]/D
26,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][4]/D
27,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[5]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][5]/D
28,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[6]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][6]/D
29,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[7]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][7]/D
30,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[8]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][8]/D
31,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[9]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[12][9]/D
32,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[0]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][0]/D
33,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[10]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][10]/D
34,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[11]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][11]/D
35,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[12]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][12]/D
36,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[13]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][13]/D
37,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[14]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][14]/D
38,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[15]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][15]/D
39,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[16]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][16]/D
40,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[17]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][17]/D
41,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[18]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][18]/D
42,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[19]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][19]/D
43,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[1]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][1]/D
44,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[20]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][20]/D
45,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[21]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][21]/D
46,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[22]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][22]/D
47,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[23]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][23]/D
48,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[24]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][24]/D
49,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[25]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][25]/D
50,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[26]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][26]/D
51,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[27]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][27]/D
52,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[28]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][28]/D
53,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[29]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][29]/D
54,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][2]/D
55,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[30]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][30]/D
56,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[31]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][31]/D
57,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[3]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][3]/D
58,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][4]/D
59,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[5]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][5]/D
60,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[6]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][6]/D
61,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[7]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][7]/D
62,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[8]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][8]/D
63,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[9]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[14][9]/D
64,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[0]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][0]/D
65,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[10]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][10]/D
66,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[11]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][11]/D
67,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[12]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][12]/D
68,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[13]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][13]/D
69,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[14]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][14]/D
70,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[15]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][15]/D
71,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[16]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][16]/D
72,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[17]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][17]/D
73,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[18]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][18]/D
74,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[19]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][19]/D
75,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[1]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][1]/D
76,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[20]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][20]/D
77,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[21]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][21]/D
78,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[22]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][22]/D
79,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[23]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][23]/D
80,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[24]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][24]/D
81,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[25]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][25]/D
82,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[26]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][26]/D
83,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[27]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][27]/D
84,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[28]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][28]/D
85,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[29]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][29]/D
86,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][2]/D
87,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[30]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][30]/D
88,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[31]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][31]/D
89,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[3]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][3]/D
90,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][4]/D
91,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[5]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[16][5]/D
