index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
0,0.630,15.000,14.154,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[29]/D,
1,0.722,15.000,14.065,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[25]/D,
2,0.746,15.000,14.041,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[24]/D,
3,0.804,15.000,13.984,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[26]/D,
4,0.851,15.000,13.984,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[19]/D,
5,0.861,15.000,13.927,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[22]/D,
6,0.862,15.000,13.957,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[2]/D,
7,0.972,15.000,13.815,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[30]/D,
8,1.040,15.000,13.829,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[0]/D,
9,1.053,15.000,13.765,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[9]/D,
10,1.094,15.000,13.726,17,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[4]/D,
11,1.124,15.000,13.694,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[7]/D,
12,1.155,15.000,13.714,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[1]/D,
13,1.158,15.000,13.775,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[0]/D,
14,1.160,15.000,13.771,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[0]/D,
15,1.164,15.000,13.657,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[15]/D,
16,1.177,15.000,13.496,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/cs_registers_i/mtvec_mode_q_reg[0]/D,
17,1.251,15.000,13.450,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/cs_registers_i/gen_mhpmcounter[3].gen_implemented.mhpmcounter_q_reg[3][0]/D,
18,1.257,15.000,13.610,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[10]/D,
19,1.258,15.000,13.717,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[29]/D,
20,1.291,15.000,13.495,18,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[28]/D,
21,1.293,15.000,13.677,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[0]/D,
22,1.298,15.000,13.633,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[0]/D,
23,1.305,15.000,13.669,11,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[13]/D,
24,1.327,15.000,13.492,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[5]/D,
25,1.352,15.000,13.435,18,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[18]/D,
26,1.359,15.000,13.429,18,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[31]/D,
27,1.360,15.000,13.507,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[3]/C,core_i/core_i/ex_stage_i/regfile_wdata_exec_wb_reg[11]/D,
