index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
0,0.339,14.000,13.440,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[18].mem_reg[18][22]/D,
1,0.345,14.000,13.593,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[23]/D,
2,0.370,14.000,13.571,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[23]/D,
3,0.395,14.000,13.515,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[9].mem_reg[9][8]/D,
4,0.395,14.000,13.538,20,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[12]/D,
5,0.436,14.000,13.547,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[7].mem_reg[7][5]/D,
6,0.438,14.000,13.428,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[2].mem_reg[2][22]/D,
7,0.443,14.000,13.380,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][19]/D,
8,0.444,14.000,13.492,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[6]/D,
9,0.451,14.000,13.482,20,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[12]/D,
10,0.464,14.000,13.355,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[28].mem_reg[28][19]/D,
11,0.472,14.000,13.513,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[28].mem_reg[28][5]/D,
12,0.478,14.000,13.510,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[14].mem_reg[14][5]/D,
13,0.479,14.000,13.451,21,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[13]/D,
14,0.490,14.000,13.450,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[17]/D,
15,0.494,14.000,13.413,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[11].mem_reg[11][8]/D,
16,0.497,14.000,13.366,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[10].mem_reg[10][22]/D,
17,0.502,14.000,13.405,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[2].mem_reg[2][8]/D,
18,0.502,14.000,13.321,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[18].mem_reg[18][19]/D,
19,0.505,14.000,13.317,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[23].mem_reg[23][19]/D,
20,0.509,14.000,13.461,18,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[1]/D,
21,0.514,14.000,13.427,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]/D,
22,0.529,14.000,13.250,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[18].mem_reg[18][26]/D,
