experiment,metric,bin_start,bin_end,count
baseline,slack,0.030,0.730,618
baseline,slack,0.730,1.431,511
baseline,slack,1.431,2.131,239
baseline,slack,2.131,2.831,298
baseline,slack,2.831,3.531,266
baseline,slack,3.531,4.232,198
baseline,slack,4.232,4.932,104
baseline,slack,4.932,5.632,78
baseline,slack,5.632,6.333,25
baseline,slack,6.333,7.033,119
baseline,slack,7.033,7.733,160
baseline,slack,7.733,8.434,191
baseline,slack,8.434,9.134,382
baseline,slack,9.134,9.834,454
baseline,slack,9.834,10.534,294
baseline,slack,10.534,11.235,107
baseline,slack,11.235,11.935,41
baseline,slack,11.935,12.635,5
baseline,slack,12.635,13.336,17
baseline,slack,13.336,14.036,32
baseline,datapath_delay,0.822,1.524,35
baseline,datapath_delay,1.524,2.227,14
baseline,datapath_delay,2.227,2.929,5
baseline,datapath_delay,2.929,3.632,50
baseline,datapath_delay,3.632,4.334,153
baseline,datapath_delay,4.334,5.037,350
baseline,datapath_delay,5.037,5.739,441
baseline,datapath_delay,5.739,6.442,345
baseline,datapath_delay,6.442,7.144,172
baseline,datapath_delay,7.144,7.846,175
baseline,datapath_delay,7.846,8.549,72
baseline,datapath_delay,8.549,9.251,14
baseline,datapath_delay,9.251,9.954,86
baseline,datapath_delay,9.954,10.656,102
baseline,datapath_delay,10.656,11.359,191
baseline,datapath_delay,11.359,12.061,321
baseline,datapath_delay,12.061,12.764,291
baseline,datapath_delay,12.764,13.466,213
baseline,datapath_delay,13.466,14.169,509
baseline,datapath_delay,14.169,14.871,600
no-mul-forwarding,slack,0.339,0.973,381
no-mul-forwarding,slack,0.973,1.608,742
no-mul-forwarding,slack,1.608,2.242,310
no-mul-forwarding,slack,2.242,2.877,314
no-mul-forwarding,slack,2.877,3.511,275
no-mul-forwarding,slack,3.511,4.146,249
no-mul-forwarding,slack,4.146,4.780,85
no-mul-forwarding,slack,4.780,5.415,35
no-mul-forwarding,slack,5.415,6.049,73
no-mul-forwarding,slack,6.049,6.684,188
no-mul-forwarding,slack,6.684,7.318,264
no-mul-forwarding,slack,7.318,7.952,356
no-mul-forwarding,slack,7.952,8.587,421
no-mul-forwarding,slack,8.587,9.221,284
no-mul-forwarding,slack,9.221,9.856,119
no-mul-forwarding,slack,9.856,10.490,35
no-mul-forwarding,slack,10.490,11.125,22
no-mul-forwarding,slack,11.125,11.759,17
no-mul-forwarding,slack,11.759,12.394,19
no-mul-forwarding,slack,12.394,13.028,35
no-mul-forwarding,datapath_delay,0.819,1.458,35
no-mul-forwarding,datapath_delay,1.458,2.096,22
no-mul-forwarding,datapath_delay,2.096,2.735,16
no-mul-forwarding,datapath_delay,2.735,3.374,25
no-mul-forwarding,datapath_delay,3.374,4.013,63
no-mul-forwarding,datapath_delay,4.013,4.651,180
no-mul-forwarding,datapath_delay,4.651,5.290,329
no-mul-forwarding,datapath_delay,5.290,5.929,459
no-mul-forwarding,datapath_delay,5.929,6.567,336
no-mul-forwarding,datapath_delay,6.567,7.206,158
no-mul-forwarding,datapath_delay,7.206,7.845,168
no-mul-forwarding,datapath_delay,7.845,8.483,37
no-mul-forwarding,datapath_delay,8.483,9.122,41
no-mul-forwarding,datapath_delay,9.122,9.761,104
no-mul-forwarding,datapath_delay,9.761,10.399,237
no-mul-forwarding,datapath_delay,10.399,11.038,283
no-mul-forwarding,datapath_delay,11.038,11.677,376
no-mul-forwarding,datapath_delay,11.677,12.316,252
no-mul-forwarding,datapath_delay,12.316,12.954,714
no-mul-forwarding,datapath_delay,12.954,13.593,389
no-alu-forwarding,slack,0.114,0.811,99
no-alu-forwarding,slack,0.811,1.509,431
no-alu-forwarding,slack,1.509,2.207,476
no-alu-forwarding,slack,2.207,2.904,423
no-alu-forwarding,slack,2.904,3.601,428
no-alu-forwarding,slack,3.601,4.299,361
no-alu-forwarding,slack,4.299,4.997,88
no-alu-forwarding,slack,4.997,5.694,42
no-alu-forwarding,slack,5.694,6.391,87
no-alu-forwarding,slack,6.391,7.089,161
no-alu-forwarding,slack,7.089,7.787,439
no-alu-forwarding,slack,7.787,8.484,426
no-alu-forwarding,slack,8.484,9.182,366
no-alu-forwarding,slack,9.182,9.879,167
no-alu-forwarding,slack,9.879,10.577,34
no-alu-forwarding,slack,10.577,11.274,27
no-alu-forwarding,slack,11.274,11.972,70
no-alu-forwarding,slack,11.972,12.669,25
no-alu-forwarding,slack,12.669,13.367,29
no-alu-forwarding,slack,13.367,14.064,37
no-alu-forwarding,datapath_delay,0.809,1.507,39
no-alu-forwarding,datapath_delay,1.507,2.205,30
no-alu-forwarding,datapath_delay,2.205,2.903,22
no-alu-forwarding,datapath_delay,2.903,3.601,75
no-alu-forwarding,datapath_delay,3.601,4.299,22
no-alu-forwarding,datapath_delay,4.299,4.997,61
no-alu-forwarding,datapath_delay,4.997,5.695,243
no-alu-forwarding,datapath_delay,5.695,6.393,397
no-alu-forwarding,datapath_delay,6.393,7.091,486
no-alu-forwarding,datapath_delay,7.091,7.789,324
no-alu-forwarding,datapath_delay,7.789,8.487,98
no-alu-forwarding,datapath_delay,8.487,9.185,75
no-alu-forwarding,datapath_delay,9.185,9.883,42
no-alu-forwarding,datapath_delay,9.883,10.581,163
no-alu-forwarding,datapath_delay,10.581,11.279,368
no-alu-forwarding,datapath_delay,11.279,11.977,333
no-alu-forwarding,datapath_delay,11.977,12.675,366
no-alu-forwarding,datapath_delay,12.675,13.373,524
no-alu-forwarding,datapath_delay,13.373,14.071,439
no-alu-forwarding,datapath_delay,14.071,14.769,109

experiment,category,count
baseline,core_i,96
baseline,imem_i,4
no-mul-forwarding,core_i,100
no-alu-forwarding,core_i,100
